yr_mfr,fuel_type,kms_run,sale_price,body_type,transmission,registered_state,make,model,total_owners,original_price,car_rating,warranty_avail
2016,1,19069,461699,1,1,1,2,56,1,488119.5,1,2
2010,1,41190,183599,1,1,3,1,11,1,242925.0,1,2
2013,1,36501,270599,1,1,3,1,117,2,342471.0,1,2
2010,1,47182,158599,1,1,3,1,9,1,200043.0,1,2
2011,1,61632,343099,2,1,3,4,27,1,356538.0,1,2
2013,1,40273,350099,1,1,1,2,56,1,366899.0,1,2
2018,1,11949,311199,1,1,1,3,69,1,349500.0,1,2
2016,1,41227,381799,1,1,3,2,56,3,488119.5,1,2
2014,1,48866,398399,1,1,1,1,104,1,467108.0,1,2
2017,1,23274,520199,2,1,1,4,12,1,533899.0,1,2
2018,1,27886,289299,1,1,3,1,10,1,369510.0,1,2
2010,1,45983,306099,2,1,3,1,105,1,451699.0,1,2
2013,1,46210,277299,1,1,3,4,21,1,346028.0,1,2
2012,2,48288,410499,2,1,1,2,114,1,500914.0,1,2
2017,1,43373,368699,1,1,3,2,56,2,396800.0,1,2
2012,2,48390,326999,2,1,1,1,105,1,451699.0,1,2
2016,1,43120,401299,1,1,3,2,56,1,414424.0,1,2
2010,1,47870,219699,1,1,3,2,59,1,297907.5,1,2
2013,1,56137,251499,1,1,3,4,21,1,323331.0,1,2
2017,1,44311,406399,1,1,3,2,56,1,488119.5,1,2
2015,1,19037,245799,1,1,1,2,44,3,288599.0,1,2
2017,1,38245,229499,1,1,3,3,69,2,232866.0,1,2
2015,2,52490,424499,1,1,3,1,104,1,526496.0,1,2
2009,1,53021,173899,1,1,1,2,59,1,214760.0,1,2
2017,1,18113,307899,1,1,1,1,10,1,304299.0,1,2
2017,1,30113,314099,1,1,3,1,11,1,300764.0,1,2
2016,1,60011,394299,1,1,3,2,56,1,406750.0,1,2
2017,1,51476,308199,1,1,3,1,117,1,317400.0,1,2
2017,3,51147,275799,1,1,3,1,10,2,304299.0,1,2
2012,2,82002,346799,2,1,1,1,105,1,451699.0,1,2
2014,2,59700,386999,1,1,3,7,47,2,404633.0,1,2
2017,3,71937,267399,1,1,1,1,10,1,304299.0,1,2
2013,1,49004,316199,1,1,1,11,84,2,511273.0,1,2
2014,1,31745,266399,1,1,1,1,10,1,277799.0,2,2
2015,2,63435,446199,1,1,3,1,104,1,534128.0,1,2
2014,1,68678,389299,1,1,3,2,60,1,355277.0,1,2
2016,1,47218,547199,2,1,1,1,26,1,548500.0,1,2
2014,1,43574,307299,1,1,3,1,24,1,358143.0,1,2
2015,2,66476,401299,1,1,3,1,104,1,456560.0,1,2
2018,1,69958,378599,1,1,3,1,117,1,342471.0,1,2
2019,1,14775,630599,1,2,1,1,104,1,630699.0,1,2
2013,1,51901,376299,1,1,1,2,60,2,355277.0,1,2
2016,1,56403,580899,2,1,3,4,27,1,696694.0,1,1
